Data;Czas snu;Czas snu lekkiego;Czas snu głębokiego;Czas fazy REM
2023-03-01;9.0;5.0;3.0;1.0
2024-01-02;3.0;3.0;3.0;3.0
2024-01-15;6.5;2.0;2.5;2.0
2024-02-20;5.0;1.5;2.5;1.0
2024-03-10;8.0;4.0;2.0;2.0
2024-04-25;7.0;3.0;2.5;1.5
2024-05-30;6.0;2.0;3.0;1.0
2024-06-14;5.5;2.5;1.5;1.5
2024-07-22;4.0;1.0;1.0;2.0
2024-08-18;9.0;5.0;2.0;2.0
2024-09-05;7.5;3.5;3.0;1.0
2024-10-01;6.0;3.0;2.0;1.0
2024-10-13;7.0;3.0;2.0;1.0
2024-02-09;9.0;5.0;4.0;0.0
2023-03-09;8.0;2.0;2.0;4.0
2024-10-14;8.0;3.0;2.0;3.0
2023-03-01;9.0;5.0;3.0;1.0
2023-03-02;8.0;2.0;3.0;3.0
2023-03-18;10.0;6.0;2.0;2.0

